"","N","BaseRisk","Censoring","Assoc_AX","Assoc_YX","True_p1","True_p2","Confounding_RD","Confounding_logRR","IPTW_Bias_RD","IPTW_Bias_logRR","Theo_Var_RD","Emp_Var_RD","Ratio_RD","Theo_Var_logRR","Emp_Var_logRR","Ratio_logRR"
"1",500,"High (~50%)","High","Modest","Modest","0.511","0.602","0.083","0.151","0.000","0.002",0.00263404245420288,0.0025124139887621,0.954,0.00870855351920104,0.0084623338906406,0.972
"2",500,"High (~50%)","Modest","Modest","Modest","0.511","0.602","0.080","0.145","0.002","0.003",0.00220712502521719,0.00231757296345761,1.05,0.00728530076942748,0.00768519704547039,1.055
"3",500,"High (~50%)","None","Modest","Modest","0.511","0.602","0.080","0.145","0.004","0.008",0.00208604650894217,0.00201558277222633,0.966,0.0068950306718067,0.00679135681541343,0.985
"4",2000,"High (~50%)","High","Modest","Modest","0.511","0.602","0.080","0.146","0.001","0.002",0.000657708509353387,0.000642777029067952,0.977,0.00217210059443559,0.00212864959056472,0.98
"5",2000,"High (~50%)","Modest","Modest","Modest","0.511","0.602","0.081","0.147","0.000","0.001",0.000551815379801473,0.0005500365288408,0.997,0.00182254680965562,0.00182613137553593,1.002
"6",2000,"High (~50%)","None","Modest","Modest","0.511","0.602","0.083","0.152","0.000","0.001",0.000521581016958154,0.000472884893664536,0.907,0.00172568886513062,0.0015730278315558,0.912
"7",10000,"High (~50%)","High","Modest","Modest","0.511","0.601","0.081","0.147","0.001","0.001",0.000131607201329106,0.000148836920387362,1.131,0.000435421858095428,0.000491305012544261,1.128
"8",10000,"High (~50%)","Modest","Modest","Modest","0.511","0.602","0.081","0.148","0.000","0.001",0.000110315561036233,0.00011849226649035,1.074,0.000364307209049536,0.000392031881878118,1.076
"9",10000,"High (~50%)","None","Modest","Modest","0.511","0.602","0.084","0.152","0.000","0.000",0.000104297741740564,0.000104379362627338,1.001,0.000344457106188767,0.000342124348905799,0.993
"10",500,"High (~50%)","High","Modest","None","0.500","0.600","0.003","0.005","0.001","0.002",0.0026338824005859,0.00266453516063686,1.012,0.00895672366640923,0.0090650548808325,1.012
"11",500,"High (~50%)","Modest","Modest","None","0.500","0.600","0.000","0.000","0.000","0.000",0.00220893796414487,0.00196834941481928,0.891,0.00751448837320421,0.00671423533054298,0.894
"12",500,"High (~50%)","None","Modest","None","0.500","0.600","0.003","0.006","0.001","0.003",0.0020887948245801,0.0021927912255988,1.05,0.00710704197172359,0.00752685676844524,1.059
"13",2000,"High (~50%)","High","Modest","None","0.500","0.600","0.000","0.000","0.002","0.003",0.00065855602890469,0.000656218115356531,0.996,0.00223952174308894,0.00224551318135601,1.003
"14",2000,"High (~50%)","Modest","Modest","None","0.500","0.600","0.002","0.003","0.001","0.001",0.000552493223428765,0.000620412550410949,1.123,0.00187976380882406,0.00213393448952411,1.135
"15",2000,"High (~50%)","None","Modest","None","0.500","0.600","0.000","0.001","0.002","0.003",0.00052212772976217,0.000487631372014098,0.934,0.00177650225703859,0.00166416419797857,0.937
"16",10000,"High (~50%)","High","Modest","None","0.500","0.600","0.001","0.002","0.000","0.001",0.000131849437584293,0.000123781561106957,0.939,0.000448390928025764,0.000425932889432372,0.95
"17",10000,"High (~50%)","Modest","Modest","None","0.500","0.600","0.000","0.001","0.000","0.000",0.000110465215100882,0.00011637649270481,1.054,0.000375779666581105,0.000400327068383415,1.065
"18",10000,"High (~50%)","None","Modest","None","0.500","0.600","0.000","0.001","0.000","0.001",0.000104431700321697,0.000113486775388128,1.087,0.000355316518488929,0.00038751391310656,1.091
"19",500,"High (~50%)","High","Modest","Strong","0.531","0.582","0.165","0.302","0.002","0.003",0.00264781345163493,0.00260035484907192,0.982,0.00861751194287536,0.00852031048744247,0.989
"20",500,"High (~50%)","Modest","Modest","Strong","0.531","0.581","0.166","0.305","0.000","0.000",0.00222112802999534,0.00212056220278096,0.955,0.00723736583639718,0.00707378780734648,0.977
"21",500,"High (~50%)","None","Modest","Strong","0.531","0.581","0.168","0.307","0.002","0.003",0.00209886544040036,0.00218307242335406,1.04,0.0068431477887101,0.00718648087747725,1.05
"22",2000,"High (~50%)","High","Modest","Strong","0.531","0.582","0.169","0.310","0.001","0.002",0.000662906860798282,0.000667449618809791,1.007,0.00215640234333259,0.0021941772023935,1.018
"23",2000,"High (~50%)","Modest","Modest","Strong","0.531","0.581","0.168","0.307","0.001","0.002",0.000555204201757535,0.000556999978694937,1.003,0.00180815001900481,0.00182146128799625,1.007
"24",2000,"High (~50%)","None","Modest","Strong","0.531","0.582","0.168","0.307","0.001","0.002",0.000524651366203959,0.000560409131558004,1.068,0.0017065148619548,0.00184048398742733,1.079
"25",10000,"High (~50%)","High","Modest","Strong","0.531","0.582","0.168","0.307","0.000","0.000",0.000132448589788739,0.000117204848595022,0.885,0.000431143185146081,0.000383389680431545,0.889
"26",10000,"High (~50%)","Modest","Modest","Strong","0.530","0.581","0.167","0.306","0.000","0.000",0.000111063956503321,0.000105093391676227,0.946,0.00036253810426777,0.000340680274675693,0.94
"27",10000,"High (~50%)","None","Modest","Strong","0.531","0.582","0.169","0.309","0.000","0.000",0.000104885676810464,0.000115762173944278,1.104,0.000341123451644539,0.000377909886881397,1.108
"28",500,"High (~50%)","High","None","Modest","0.511","0.602","0.001","0.002","0.002","0.002",0.002471349246517,0.00238722049779608,0.966,0.00815605268252381,0.00804992395051288,0.987
"29",500,"High (~50%)","Modest","None","Modest","0.511","0.602","0.004","0.006","0.004","0.007",0.00207278840727654,0.00217248112883185,1.048,0.00684765535123304,0.00735414528026408,1.074
"30",500,"High (~50%)","None","None","Modest","0.511","0.602","0.001","0.002","0.001","0.001",0.00195901073362048,0.00172509019812,0.881,0.00647235033739701,0.00568050333789001,0.878
"31",2000,"High (~50%)","High","None","Modest","0.511","0.602","0.000","0.000","0.001","0.002",0.000618163185469576,0.000648951367221031,1.05,0.0020428467446069,0.00216435180208525,1.059
"32",2000,"High (~50%)","Modest","None","Modest","0.511","0.602","0.000","0.000","0.002","0.003",0.000518305869619593,0.000540075978396644,1.042,0.00171184156760157,0.00178548875569095,1.043
"33",2000,"High (~50%)","None","None","Modest","0.511","0.602","0.002","0.004","0.000","0.000",0.000489715130375547,0.000473363803071536,0.967,0.0016173391304883,0.00157366913827607,0.973
"34",10000,"High (~50%)","High","None","Modest","0.511","0.602","0.000","0.000","0.000","0.001",0.00012360834914638,0.000111012377006159,0.898,0.000407992755976932,0.000370296464490026,0.908
"35",10000,"High (~50%)","Modest","None","Modest","0.511","0.602","0.000","0.001","0.000","0.000",0.000103616587256974,0.000102708613746904,0.991,0.00034232158541909,0.000338291948947858,0.988
"36",10000,"High (~50%)","None","None","Modest","0.511","0.602","0.002","0.003","0.001","0.001",9.79438028485368e-05,9.52048249516244e-05,0.972,0.000323515055719054,0.000310973196048999,0.961
"37",500,"High (~50%)","High","None","None","0.500","0.600","0.001","0.002","0.001","0.003",0.00247373935839429,0.00251868964674106,1.018,0.0084115028446851,0.00861551447906386,1.024
"38",500,"High (~50%)","Modest","None","None","0.500","0.600","0.000","0.000","0.004","0.006",0.00207415600634263,0.00195809821929614,0.944,0.00705580660186539,0.0065916654553876,0.934
"39",500,"High (~50%)","None","None","None","0.500","0.600","0.002","0.003","0.002","0.004",0.00196115057292753,0.00194622873987062,0.992,0.00667266549581735,0.0066319826416699,0.994
"40",2000,"High (~50%)","High","None","None","0.500","0.600","0.002","0.004","0.000","0.000",0.00061858803828748,0.0006015863957519,0.973,0.00210336832058656,0.00203323944809844,0.967
"41",2000,"High (~50%)","Modest","None","None","0.500","0.600","0.001","0.001","0.001","0.003",0.000518714278287453,0.000497565692575614,0.959,0.00176482586066107,0.00168822254210942,0.957
"42",2000,"High (~50%)","None","None","None","0.500","0.600","0.001","0.003","0.001","0.001",0.000490307658828525,0.000468946774008782,0.956,0.00166823719018867,0.00157112281313451,0.942
"43",10000,"High (~50%)","High","None","None","0.500","0.600","0.000","0.000","0.000","0.001",0.00012378267470292,0.000116823897553114,0.944,0.000420912510947447,0.000398296706988278,0.946
"44",10000,"High (~50%)","Modest","None","None","0.500","0.600","0.001","0.002","0.000","0.000",0.00010378019821137,0.000108351318868815,1.044,0.000353056556218973,0.000370980881679737,1.051
"45",10000,"High (~50%)","None","None","None","0.500","0.600","0.001","0.001","0.000","0.000",9.8055421366629e-05,0.000112352392931001,1.146,0.000333627170698358,0.000378971622386404,1.136
"46",500,"High (~50%)","High","None","Strong","0.531","0.582","0.003","0.006","0.003","0.006",0.0024872032116989,0.00237912427642,0.957,0.00808764690350839,0.00773533393149243,0.956
"47",500,"High (~50%)","Modest","None","Strong","0.531","0.581","0.000","0.000","0.001","0.002",0.00208624219154358,0.00217449675801889,1.042,0.00679664077625474,0.00714653648712751,1.051
"48",500,"High (~50%)","None","None","Strong","0.531","0.581","0.000","0.000","0.001","0.002",0.00197098701701245,0.00204227706592903,1.036,0.00642434757120124,0.00663413465519509,1.033
"49",2000,"High (~50%)","High","None","Strong","0.531","0.581","0.001","0.001","0.000","0.000",0.000621986352313454,0.000586799677624324,0.943,0.00202732687773813,0.00191895091773476,0.947
"50",2000,"High (~50%)","Modest","None","Strong","0.530","0.581","0.002","0.004","0.001","0.001",0.000521355013696525,0.000499152874782509,0.957,0.00170125849736273,0.0016446858238619,0.967
"51",2000,"High (~50%)","None","None","Strong","0.531","0.581","0.000","0.000","0.000","0.001",0.000492716006666329,0.00047955690430939,0.973,0.00160506694251894,0.00156294884675206,0.974
"52",10000,"High (~50%)","High","None","Strong","0.531","0.582","0.000","0.000","0.001","0.001",0.00012443721218838,0.000118469632981843,0.952,0.000404815619533403,0.000385433826030732,0.952
"53",10000,"High (~50%)","Modest","None","Strong","0.530","0.581","0.001","0.001","0.000","0.000",0.000104265543829087,0.000104693088276382,1.004,0.000340418614892326,0.000341696556592642,1.004
"54",10000,"High (~50%)","None","None","Strong","0.531","0.581","0.001","0.001","0.001","0.002",9.85387964003273e-05,8.18139164242069e-05,0.83,0.000320925779483279,0.000264933683177217,0.826
"55",500,"High (~50%)","High","Strong","Modest","0.511","0.602","0.195","0.359","0.004","0.009",0.00441394027632644,0.00472592136405014,1.071,0.0145686485024592,0.0159555574652553,1.095
"56",500,"High (~50%)","Modest","Strong","Modest","0.511","0.602","0.193","0.356","0.001","0.002",0.00369901166431952,0.00371181435598623,1.003,0.0122327830395932,0.0123084066571332,1.006
"57",500,"High (~50%)","None","Strong","Modest","0.512","0.602","0.195","0.359","0.002","0.004",0.00350282601264023,0.00382564150825453,1.092,0.0115583445573545,0.0125594084256614,1.087
"58",2000,"High (~50%)","High","Strong","Modest","0.511","0.602","0.194","0.359","0.001","0.003",0.0011042698937228,0.00105218073013021,0.953,0.00364521815904565,0.00347174538544584,0.952
"59",2000,"High (~50%)","Modest","Strong","Modest","0.511","0.602","0.196","0.362","0.001","0.003",0.000924091314386618,0.000994384420472839,1.076,0.00305217053976973,0.00328046899133351,1.075
"60",2000,"High (~50%)","None","Strong","Modest","0.511","0.602","0.194","0.358","0.001","0.002",0.000877201640970784,0.000840521246079446,0.958,0.00289916812892885,0.00274795509124228,0.948
"61",10000,"High (~50%)","High","Strong","Modest","0.511","0.602","0.198","0.366","0.000","0.000",0.000221367835085159,0.000210826081788317,0.952,0.000731074207947298,0.000696867335763734,0.953
"62",10000,"High (~50%)","Modest","Strong","Modest","0.511","0.602","0.194","0.358","0.000","0.001",0.000186055139227344,0.00016972179069462,0.912,0.000614578137939807,0.000546475559794978,0.889
"63",10000,"High (~50%)","None","Strong","Modest","0.511","0.601","0.192","0.355","0.000","0.001",0.000175251315480694,0.000174688700563928,0.997,0.000580122120786821,0.000580084059677726,1
"64",500,"High (~50%)","High","Strong","None","0.500","0.600","0.001","0.002","0.001","0.004",0.00441884688163785,0.00441907366602744,1,0.0150218186457456,0.0153614117388423,1.023
"65",500,"High (~50%)","Modest","Strong","None","0.500","0.600","0.001","0.002","0.002","0.003",0.00370179723332363,0.00367828477707526,0.994,0.0125982511820249,0.0124142429514362,0.985
"66",500,"High (~50%)","None","Strong","None","0.500","0.600","0.002","0.003","0.001","0.000",0.00350679924152693,0.00348723816133816,0.994,0.0119357453437323,0.0120926198248636,1.013
"67",2000,"High (~50%)","High","Strong","None","0.500","0.600","0.000","0.000","0.001","0.001",0.00110181715539737,0.00113147383556654,1.027,0.0037452379095093,0.00389666711464924,1.04
"68",2000,"High (~50%)","Modest","Strong","None","0.500","0.600","0.001","0.003","0.001","0.001",0.000929422849894373,0.000934634124820564,1.006,0.00316116848731539,0.003176048270256,1.005
"69",2000,"High (~50%)","None","Strong","None","0.500","0.600","0.002","0.003","0.002","0.004",0.000874173956700616,0.000917436180289404,1.049,0.00297394619239974,0.00308000875877975,1.036
